"table","dataset","n_items","n_participants","n_categories","n_responses","density","longitudinal","construct_type","ct_primary","affect_cog","item_format","measurement_tool","construct_name","doi","license","catband","stratum","eff_N","N_short"
"pecino_2018_extrarole_wfb","item_response_warehouse_3",34,442,6,15028,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0207458","CC BY 4.0","6-7","untagged | 6-7",442,TRUE
"pezzuti_2025_coolpeople_main_individualism_usa","item_response_warehouse_2",8,844,7,6752,1,FALSE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Individualism","10.1037/xge0001799","CC BY 4.0","6-7","affective/opinion | 6-7",844,TRUE
"pezzuti_2025_coolpeople_single-items","item_response_warehouse_2",10,5656,7,56560,1,TRUE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Single-item Attributes","10.1037/xge0001799","CC BY 4.0","6-7","affective/opinion | 6-7",2000,FALSE
"promispme_forrest_2021_ghglobal_children","item_response_warehouse",18,3635,6,65430,1,FALSE,"Physical health/functioning","Physical health/functioning","other","Likert Scale/selected response","Survey/questionnaire","PROMIS Pediatric Global Health (PGH-7)","10.7910/dvn/qoo7qx","CC0 1.0","6-7","other | 6-7",2000,FALSE
"queiros_2018_qcae","item_response_warehouse_3",31,562,4,17422,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0197755","CC BY 4.0","4-5","untagged | 4-5",562,TRUE
"rfq8_wozniakprus_2022","item_response_warehouse_2",8,538,7,4304,1,FALSE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Reflective Functioning Questionnaire (RFQ-8)","10.1080/00223891.2021.2014505","CC0 1.0","6-7","affective/opinion | 6-7",538,TRUE
"rmet_higgins_2022_rmet","item_response_warehouse_2",37,1222,4,45214,1,FALSE,"Cognitive/educational","Cognitive/educational","cognitive","Constructed Response","Test","Reading the Mind in the Eyes Test","10.1177/10731911221124342","CC BY 4.0","4-5","cognitive | 4-5",1222,TRUE
"rodriguezquiroga_2024_epistemic_trust","item_response_warehouse_3",15,1018,7,15270,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0311352","CC BY 4.0","6-7","untagged | 6-7",1018,TRUE
"rosenberg_selfesteem","item_response_warehouse",10,47974,4,479740,1,FALSE,"Personality, Behavioral","Personality","affective/opinion","Likert Scale/selected response","Test","Rosenberg Self Esteem Scale","na","CC BY 4.0","4-5","affective/opinion | 4-5",2000,FALSE
"rosetti2023_climate_anxiety","item_response_warehouse_2",22,468,5,10296,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.6084/m9.figshare.16900393.v2","CC BY 4.0","4-5","untagged | 4-5",468,TRUE
"rosetti2023_gad7","item_response_warehouse_2",7,468,4,3276,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.6084/m9.figshare.16900393.v2","CC BY 4.0","4-5","untagged | 4-5",468,TRUE
"rrca_mcneish_2025_exp","item_response_warehouse",8,386,4,3088,1,FALSE,"Cognitive/educational","Cognitive/educational","cognitive","Likert Scale/selected response","Observational rating","Measure of Original Thinking in Elementary School - Example Subscale","10.3758/s13428-025-02611-8","CC BY 4.0","4-5","cognitive | 4-5",386,TRUE
"sabers_vesper2023","item_response_warehouse",15,1361,5,20415,1,FALSE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Strike Attitude and Behavioral Reactions Scale (SABeRS)","10.1027/1015-5759/a000807","CC BY 4.0","4-5","affective/opinion | 4-5",1361,TRUE
