"table","replicate","seed","n_items","n_resp","n_resp_full","N_capped","OverallSD","OverallKurt","OverallRightKurt","VarColPC1","SkewColPC1","SkewColPC2","Skewness","Mean_Row_Corr","Row_Corr_Kurtosis","CorrRightKurt","Mean_Col_Kurtosis","Mean_SD_Ratio","PercentOut","intrinsicDemnsionalityProp","PercentOut_cells","OverallRightKurt_corrected","nrOut_raw","intrinsicDim_raw"
"imos_2003",1,101,6,442,442,FALSE,2.83808660875461,-0.910208011204872,-1.31636667817599,15.1077366549787,0.356714472131163,-0.160037390818218,0.914154856805909,0.420884592877584,-0.544408188115379,-1.2262998750842,3.93342255369977,0.805552007271929,66.6666666666667,0.333333333333333,0.102187028657617,0.233367754821419,4,2
"imos_2003",2,202,6,442,442,FALSE,2.83808660875461,-0.910208011204872,-1.31636667817599,15.1077366549787,0.356714472131163,-0.160037390818218,0.914154856805909,0.420884592877584,-0.544408188115379,-1.2262998750842,3.93342255369977,0.805552007271929,66.6666666666667,0.333333333333333,0.102187028657617,0.233367754821419,4,2
"imos_2003",3,303,6,442,442,FALSE,2.83808660875461,-0.910208011204872,-1.31636667817599,15.1077366549787,0.356714472131163,-0.160037390818218,0.914154856805909,0.420884592877584,-0.544408188115379,-1.2262998750842,3.93342255369977,0.805552007271929,66.6666666666667,0.333333333333333,0.102187028657617,0.233367754821419,4,2
"imos_2007",1,101,6,505,505,FALSE,2.96251444252625,-1.25361767359818,-1.60244242005264,15.7115785250323,0.476071446472825,0.276625234370623,0.747156208833804,0.552741069437292,0.697905774869333,-1.41710365990252,14.2282894112023,0.691457929178038,66.6666666666667,0.333333333333333,0.104620462046205,0.638825003349917,4,2
"imos_2007",2,202,6,505,505,FALSE,2.96251444252625,-1.25361767359818,-1.60244242005264,15.7115785250323,0.476071446472825,0.276625234370623,0.747156208833804,0.552741069437292,0.697905774869333,-1.41710365990252,14.2282894112023,0.691457929178038,66.6666666666667,0.333333333333333,0.104620462046205,0.638825003349917,4,2
"imos_2007",3,303,6,505,505,FALSE,2.96251444252625,-1.25361767359818,-1.60244242005264,15.7115785250323,0.476071446472825,0.276625234370623,0.747156208833804,0.552741069437292,0.697905774869333,-1.41710365990252,14.2282894112023,0.691457929178038,66.6666666666667,0.333333333333333,0.104620462046205,0.638825003349917,4,2
"imos_2012",1,101,6,527,527,FALSE,2.97610678179621,-1.33727236351972,-1.75826803344807,15.1422743147565,0.430761940585315,0.141165190641493,0.662130956993318,0.59051090612163,1.00943658067656,-1.41449592677433,4.97597541477534,0.717417240016581,50,0.5,0.084123972169513,-0.518670534351281,3,3
"imos_2012",2,202,6,527,527,FALSE,2.97610678179621,-1.33727236351972,-1.75826803344807,15.1422743147565,0.430761940585315,0.141165190641493,0.662130956993318,0.59051090612163,1.00943658067656,-1.41449592677433,4.97597541477534,0.717417240016581,50,0.5,0.084123972169513,-0.518670534351281,3,3
"imos_2012",3,303,6,527,527,FALSE,2.97610678179621,-1.33727236351972,-1.75826803344807,15.1422743147565,0.430761940585315,0.141165190641493,0.662130956993318,0.59051090612163,1.00943658067656,-1.41449592677433,4.97597541477534,0.717417240016581,50,0.5,0.084123972169513,-0.518670534351281,3,3
"imos_2015",1,101,6,551,551,FALSE,2.77598288878641,-0.901838932965051,-1.42374782544425,12.8053461307855,-0.231524336837727,0.0534825103815292,0.894654147292968,0.556752959105093,0.349101048174428,-1.34963168029824,4.70599828773572,0.726676788007072,66.6666666666667,0.333333333333333,0.0535390199637024,-0.650716154735527,4,2
